Pregunta;Opcion 1;Opcion 2;Opcion 3;Opcion 4;Opcion 5;Respuestas
Which AWS service or feature can be used to capture information about inbound and outbound IP traffic on network interfaces in a VPC?;AWS CloudTrail;VPC Flow Logs;Internet gateway;VPC Endpoint;;2
Which IAM entity can be used for assigning permissions to AWS services?;IAM Access Key ID and Secret Access Key;Security Token Service (STS);IAM Role;IAM Policy;;3
How can a user block a suspicious IP address from connecting to an Amazon EC2 instance?;Block the IP on the inbound rule of a network ACL.;Block the IP on the outbound rule of a security group and network ACL.;Block the IP on the outbound rule of a security group.;Block the IP on the inbound rule of a security group and network ACL.;;1
A company requires a single service which can manage their backup and restore requirements their data lakes and archives all in one place. Which AWS service is suitable for all these use cases?;Amazon Simple Storage Service (Amazon S3).;Amazon FSx for Lustre.;Amazon Elastic File System (Amazon EFS).;Amazon Elastic Block Store (Amazon EBS);;1
Which service can be used to cost-effectively move exabytes of data into AWS?;AWS Snowball;S3 Transfer Acceleration;AWS Snowmobile;S3 Cross-Region Replication (CRR);;3
What is a benefit of moving an on-premises database to Amazon Relational Database Service (RDS)?;You can scale vertically without downtime;There is no need to manage operating systems;There is no database administration required;You can run any database engine;;2
Which authentication method is used to authenticate programmatic calls to AWS services?;Key pair;Access keys;Server certificate;Console password;;2
AWS Direct Connect is used by a company that wants to establish connectivity across multiple AWS Regions using VPCs.Which AWS service or feature should the company use to meet these requirements?;AWS PrivateLink;AWS Transit Gateway;Amazon Connect;Amazon Route 53;;2
A company has a mission critical Linux-based application. The application must run every Monday from 6 AM until 10pm. As the application is critical it cannot be interrupted.Which Amazon EC2 instance purchasing option meets these requirements MOST cost-effectively?;On-Demand Capacity Reservation with Savings Plan;Spot Instances;Dedicated Hosts;Regional Reserved Instances;;1
Which of the below is an example of an architectural benefit of moving to the cloud?;Elasticity;Proprietary hardware;Monolithic services;Vertical scalability;;1
After an organization has migrated several servers into AWS  they are unsure as to what they must directly manage themselves.Which cost is the company's direct responsibility?;Cost of physical security for the AWS data center.;Cost of power for the AWS servers.;Cost of the hardware infrastructure on AWS.;Cost of application software licenses.;;4
Which AWS service or VPC component allows inbound traffic from the internet to access a VPC?;Virtual Private Gateway;Internet gateway;VPC Route Table;NAT Gateway;;2
What are the benefits of using reserved instances? (Select TWO.);Uses dedicated hardware;High availability;More flexibility;Reduced cost;Reserve capacity;4 5
A user needs a quick way to determine if any Amazon EC2 instances have ports that allow unrestricted access. Which AWS service will support this requirement?;AWS CloudWatch Logs;AWS Shield;AWS Trusted Advisor;VPC Flow Logs;;3
Under the AWS shared responsibility model which actions are the responsibility of AWS? (Select TWO.);Enabling encryption on an Amazon S3 bucket.;Encrypting traffic on the AWS backbone between global and regional AWS facilities.;Scanning AWS service endpoints for vulnerabilities.;Enforcing application access restrictions.;Configuring security group rules.;2 3
What are the benefits of using Amazon Rekognition with image files?;Can be used to resize images;Can be used to transcode audio;Can help with image compression;Can be used to identify objects in an image; ;4
AWS Global Infrastructure consists of which of the following components?;AWS Organizations;AWS Regions;Amazon Alexa;Amazon LightSail;;2
How can an organization track resource inventory and configuration history for the purpose of security and regulatory compliance?;Implement Amazon GuardDuty;Create an Amazon CloudTrail trail;Run a report with AWS Artifact;Configure AWS Config with the resource types;;4
Your CTO wants to move to cloud. What cost advantages are there to moving to cloud?;You provision only what you need and adjust to peak load;You don�??t need to pay for application licensing;You get free data transfer into and out of the cloud;You can reduce your marketing costs;;1
Which AWS tools can be used for automation? (Select TWO.);AWS CloudFormation;Elastic Load Balancing;AWS Lambda;AWS Elastic Beanstalk;Amazon Elastic File System (EFS);1 4
How does Amazon CloudFront deliver content to end users with low latency using the AWS global infrastructure?;AWS Direct Connect connections;Availability Zones;Edge locations;AWS Regions;;3
A company needs to invoke an AWS Step Functions workflow each time an Amazon EC2 instance state changes. Which AWS service can the company use to meet this requirement?;Amazon Connect;Amazon EventBridge;AWS Fargate;Amazon SageMaker;;2
How does Amazon EC2 Auto Scaling help with resiliency?;By automating the failover of applications;By launching and terminating instances as needed;By changing instance types to increase capacity;By distributing connections to EC2 instances;;2
Which AWS service or feature can be used to restrict the individual API actions that users and roles in each member account can access?;AWS Shield;Amazon Macie;AWS IAM;AWS Organizations;;4
Under the AWS shared responsibility model which of the following is an example of customer responsibility in the AWS Cloud?;;Firewall con���guration;Managing edge locations;Physical security;Global infrastructure;1
Which of the following is an advantage of AWS Cloud computing?;Trade elasticity for performance.;Trade security for elasticity.;Trade fixed expenses for variable expenses.;Trade operational excellence for agility.;;3
A manager is planning to migrate applications to the AWS Cloud and needs to obtain AWS compliance reports.How can these reports be generated?;Download the reports from AWS Secrets Manager.;Create a support ticket with AWS Support.;Contact the AWS Compliance team.;Download the reports from AWS Artifact.; ;4
A security operations engineer needs to implement threat detection and monitoring for malicious or unauthorized behavior. Which service should be used?;Amazon GuardDuty;AWS CloudHSM;AWS Shield;AWS KMS;;1
Which AWS services are associated with Edge Locations? (Select TWO.);AWS Direct Connect;AWS Config;Amazon EBS;AWS Shield;Amazon CloudFront;4 5
An organization moves a workload to Amazon EC2 instances on AWS. Cost-effectiveness is the key to running the workload properly in the Cloud.What can the company do to meet this requirement?;Use multiple AWS accounts and consolidated billing.;Use AWS Key Management Service (AWS KMS).;Use AWS CloudFormation to deploy the infrastructure.;Rightsize all the EC2 instances that are used in the deployment;;4
An Amazon EC2 instance running the Amazon Linux 2 AMI is billed in what increment?;Per CPU;Per hour;Per GB;Per second;;4
A company has been using an AWS managed IAM policy for granting permissions to users but needs to add some permissions.How can this be achieved?;Create a Service Control Policy.;Edit the AWS managed policy.;Create a custom IAM policy.;Create a rule in AWS WAF.;;3
What technology enables compute capacity to adjust as loads change?;Load balancing;Auto Scaling;Automatic failover;Round robin;;2
How can a company separate costs for storage Amazon EC2 Amazon S3 and other AWS services by department?;Use AWS Organizations;Add department-speci���c tags to each resource;Create a separate AWS account for each department;Create a separate VPC for each department;;2
An ecommerce company is using Auto Scaling groups to manage a group of web servers running on Amazon EC2 and are additionally placed behind an Elastic Load balancer.This architecture follows which AWS Well-Architected Framework best practice?;Decouple infrastructure components;Secure the workload;Think parallel;Design for failure;;4
A company plans to connect their on-premises data center to the AWS Cloud and requires consistent bandwidth and performance.Which AWS service should the company choose?;AWS VPN;AWS Direct Connect;Amazon CloudFront;Amazon Connect;;2
What AWS service decouples application components so that they can run independently?;AWS Glue;Amazon Simple Queue Service (Amazon SQS);Amazon Simple Workflow Service (Amazon SWF);Amazon Simple Notification Service (Amazon SNS);;2
Which IAM entity can be used for assigning permissions to multiple users?;IAM User;IAM Role;IAM password policy;IAM Group;;4
A company needs to optimize costs and resource usage through monitoring of operational health for all resources running on AWS.;Which AWS service will meet these requirements?;AWS Control Tower;Amazon CloudWatch;AWS CloudTrail;AWS Config;2
What is a specific benefit of an Enterprise Support plan?;Included Technical Support Manager;Included Technical Account Manager;Included AWS Solutions Architect;Included Cloud Support Associate;;2
An architecture's ability to withstand failures with minimal downtime demonstrates which AWS Cloud benefit?;Elasticity;Scalability;High availability;Agility;;3
A new web application is being developed by a company. Logging into the application through a social identity provider is a must have requirement for the company.Which AWS service will meet these requirements?;;AWS Identity and Access Management (IAM).;AWS Single Sign-On.;AWS Directory Service;Amazon Cognito.;4
It is important for users to have access to as many resources as they need. Also the user needs the ability to scale up and down quickly.These capabilities are described by which AWS Cloud benefit?;Elasticity;Pay-as-you-go pricing;Reliability;Economy of scale;;1
Which AWS services can be used as infrastructure automation tools? (Select TWO.);AWS Batch;Amazon CloudFront;AWS CloudFormation;Amazon QuickSight;AWS OpsWorks;3 5
Which Amazon EC2 pricing model is the most cost-effective for an always-up right-sized database server running a project that will last 1 year?;Convertible Reserved Instances;On-Demand Instances;Standard Reserved Instances;Spot Instances;;3
An organization recently migrated to AWS and wants to enable intelligent threat protection and continuous monitoring across all its accounts.Which AWS service should the company use to achieve this goal?;AWS Shield;Amazon Detective;Amazon Macie;Amazon GuardDuty;;4
An IT company has deployed its infrastructure on the AWS cloud. There must be a database that supports reads with a latency of under a millisecond for critical applications.Which AWS service will meet this requirement?;Amazon RDS;Amazon ElastiCache;AWS Glue;Amazon EMR;;2
An organization is considering implementing a new workload in the AWS Cloud. However the company first wants to forecast costs.Which tool should the company use to estimate the cost of the workload?;AWS Pricing Calculator.;Cost Explorer.;AWS Cost and Usage Report.;AWS Billing and Cost Management dashboard.;;1
A company has 50 different business units and requires that each business unit's billing information is viewed separately.What should a cloud practitioner recommend?;Use a different VPC for each business unit then filter by unit using an AWS Cost and Usage Report.;Tag each business unit's resources then filter by unit in Cost Explorer.;Place each business unit in a different AWS Region then filter by unit in Cost Explorer.;Use separate AWS accounts for each business unit then filter by unit using the coverage report.;;2
Which AWS Support plan provides access to architectural and operational reviews as well as 24/7 access to Cloud Support Engineers through email online chat and phone?;Developer;Basic;Business;Enterprise; ;4
Which AWS service provides on-demand downloads of AWS security and compliance reports?;AWS Trusted Advisor;Amazon Inspector;AWS Directory Service;AWS Artifact; ;4
Which pillar of the AWS Well-Architected Framework includes the design principle of defining workloads applications and infrastructure as code (IaC)?;Security;Reliability;Operational excellence;Performance efficiency;;3
A company currently uses a Security Assertion Markup Language (SAML) based application to log in to third-party business applications and would like to have this hosted in AWS using managed services.Which AWS service will meet this requirement?;AWS Single Sign-On.;Amazon Cognito.;AWS CLI.;AWS Identity and Access Management (IAM).;;2
You have been running an on-demand Amazon EC2 instance running Linux for 4hrs 5 minutes and 6 seconds. How much time will you be billed for?;4hrs 5mins and 6 seconds;5hrs;4hrs 6mins;4hrs;;1
In which AWS service can a company collect data about the configuration usage and behavior of its on-premises data centers to assist in planning a migration to AWS?;AWS Systems Manager;AWS Application Discovery Service;AWS Service Catalog;AWS Resource Groups;;2
Which service can be used to improve performance for users around the world?;Amazon CloudFront;Amazon Connect;AWS LightSail;Amazon ElastiCache; ;1
Which AWS service uses a highly secure hardware storage device to store encryption keys?;AWS CloudHSM;AWS IAM;Amazon Cloud Directory;AWS WAF; ;1
Which AWS service should be used to create a billing alarm?;Amazon CloudWatch;AWS Trusted Advisor;AWS CloudTrail;Amazon QuickSight; ;1
Which AWS services are delivered globally rather than regionally? (Select TWO.);Amazon RDS;Amazon Route 53;Amazon VPC;Amazon CloudFront;Amazon EC2;2 4
Which service can be added to a database to provide improved performance for some requests?;Amazon RDS;Amazon RedShift;Amazon EFS;Amazon ElastiCache; ;4
Which of the following can be assigned to an IAM user? (Select TWO.);A password for logging into Linux;An SSL/TLS certificate;A password for access to the management console;An access key ID and secret access key;A key pair;3 4
An organization has an on-premises cloud and accesses their AWS Cloud over the Internet. How can they create a private hybrid cloud connection that avoids the internet?;AWS Managed VPN;AWS VPN CloudHub;AWS VPC Endpoint;AWS Direct Connect; ;4
Which of the following are advantages of the AWS Cloud? (Select TWO.) AWS manages the security of applications built on AWS;AWS manages cost planning for virtual servers;AWS manages capacity planning for physical servers;AWS manages the development of applications on AWS;AWS manages the maintenance of the cloud infrastructure;;3 5
What is the benefit of using fully managed services compared to deploying 3rd party software on EC2?;Improved security;Reduced operational overhead;You have greater control and flexibility;You don't need to back-up your data; ;2
Which of the following need to be included in a total cost of ownership (TCO) analysis? (Select TWO.);IT Manager salary;Application development;Company wide marketing;Facility equipment installation;Data center security costs;4 5
A system administrator discovers that several Amazon EC2 instances have been terminated. It is the responsibility of the system administrator to identify the user or AWS API call that terminated these instances. ;AWS CloudTrail;AWS Trusted Advisor;Amazon Detective;Amazon Inspector; ;1
An organization is migrating its application from on-premises SQL Server to AWS. As part of the migration the company wants to reduce operational overhead but lacks the resources to refactor the application.Which database service would MOST effectively support these requirements?;Amazon Redshift;Amazon RDS for SQL Server;Amazon DynamoDB;Microsoft SQL Server on Amazon EC2;;2
Which tool can be used to create alerts when the actual or forecasted cost of AWS services exceed a certain threshold?;AWS CloudTrail;AWS Cost Explorer;AWS Budgets;AWS Cost and Usage report;;3
An IT company requires a private encrypted channel of communication between its on-premises data center and a VPC in the AWS Cloud.Which AWS service or feature meets this requirement?;VPC endpoints;AWS PrivateLink; ;AWS Global Accelerator;AWS Site-to-Site VPN;2
Which service can be used to manage configuration versions?;Amazon Inspector;AWS Config;AWS Artifact;AWS Service Catalog;;2
Which of the following are architectural best practices for the AWS Cloud? (Select TWO.);Deploy into a single availability zone;Design for fault tolerance;Create monolithic architectures;Deploy into multiple Availability Zones;Close coupling;2 4
How does �??elasticity�?� benefit an application design?;By reserving capacity to reduce cost;By automatically scaling resources based on demand;By selecting the correct storage tier for your workload;By reducing interdependencies between application components; ;2
When a company moves an on-premises internet-facing website to the AWS Cloud what benefits does it obtain? (Select TWO.);AWS automatically provides the company with the lowest-cost pricing model.;Website capacity can expand or contract as website traffic changes.;The company can take advantage of the pay-as-you-go pricing model.;Data that is stored in the AWS Cloud is automatically encrypted.;The website shows up with higher priority in internet search engines.;3
What is the main benefit of the principle of ''loose coupling''?;Automate the deployment of infrastructure using code;Reduce interdependencies so a failure in one component does not cascade to other components; ;Reduce operational complexity;Enables applications to scale automatically based on current demand;2
There is a need to perform queries and to search and analyze logs interactively within an organization. Which AWS service or feature will meet this requirement?;Amazon CloudWatch Logs Insights.;Amazon CloudWatch anomaly detection.;Amazon EventBridge (Amazon CloudWatch Events).; ;Amazon CloudWatch Logs streams.;1
How can I deploy AWS Cloud infrastructure to multiple AWS Regions quickly automatically and reliably?;Use AWS Systems Manager to automate management tasks such as creating Amazon EC2 Amazon Machine Images (AMIs) and applying patches.;Use AWS CodeStar to set up a continuous delivery toolchain for automated deployment.;Create and use an AWS CloudFormation template.;Create and launch an Amazon EC2 Amazon Machine Image (AMI) containing the source code with built-in deployment hooks to launch other AWS services.; ;3
An organization has multiple AWS accounts and uses a mixture of on-demand and reserved instances. One account has a considerable amount of unused reserved instances. How can the organization reduce their costs? (Select TWO.);Setup consolidated billing between the accounts;Use Spot instances instead;Create an AWS Organization configuration linking the accounts;Switch to using placement groups;Redeem their reserved instances;1 3
What is the most cost-effective Amazon S3 storage tier for data that is not often accessed but requires high availability? ;Amazon S3 Standard;Amazon Glacier;Amazon S3 One Zone-IA;Amazon S3 Standard-IA; ;4
Which statement is true in relation to data stored within an AWS Region? ;Data is always replicated to another region;Data is always automatically replicated to at least one other availability zone;Data is automatically archived after 90 days;Data is not replicated outside of a region unless you configure it;;4
Which statement is correct in relation to the AWS Shared Responsibility Model?;AWS are responsible for the security of regions and availability zones;Customers are responsible for security of the cloud;Customers are responsible for patching storage systems;AWS are responsible for encrypting customer data;;1
Which of the following is an architectural best practice recommended by AWS? ;Think servers not services;Use manual operational processes;Design for success;Design for failure; ;4
What are two components of Amazon S3? (Select TWO.);Directories;Objects;Block devices;File systems;Buckets;2 5
Which of the following is a benefit of moving to the AWS Cloud?;Capital purchases;Pay for what you use;Outsource all IT operations;Long term commitments; ;2
Which actions are the responsibility of AWS according to the AWS shared responsibility model? (Select TWO.);Configuring security groups and network ACLs;Patching the operating system on Amazon EC2 instances;Patching the operating system on Amazon RDS instances;Securing the virtualization layer;Enforcing a strict password policy for IAM users;3 4
Which storage type can be mounted using the NFS protocol to many EC2 instances simultaneously?;Amazon EFS;Amazon S3;Amazon Instance Store;Amazon EBS;;1
Which AWS service lets you add user sign up sign-in and access control to web and mobile apps?;AWS Artifact;AWS CloudHSM;AWS Directory Service;Amazon Cognito;;4
How can consolidated billing within AWS Organizations help lower overall monthly expenses?;By providing a consolidated view of monthly billing across multiple accounts;By pooling usage across multiple accounts to achieve a pricing tier discount;By automating the creation of new accounts through APls;By leveraging service control policies (SCP) for centralized service management; ;2
It is necessary for a company to have access to scalable highly reliable and fully managed file storage that runs on the Server Message Block (SMB) protocol.Which AWS service will meet these requirements?;Amazon Elastic File System (Amazon EFS).;Amazon Elastic Block Store (Amazon EBS);Amazon FSx for Windows File Server.;Amazon S3;;3
Remote employees need access to managed Windows virtual desktops and applications over secure networks.Which AWS services can the company use to meet these requirements? (Select TWO.);Amazon Elastic Container Service (Amazon ECS);AWS Site-to-Site VPN;Amazon Workspaces;Amazon AppStream 2;Amazon Connect;1 2
Which type of AWS Storage Gateway can be used to backup data with popular backup software? ;Gateway Virtual Tape Library;Volume Gateway;Backup Gateway;File Gateway;;1
In AWS IAM what are the characteristics of users and groups? (Select TWO.) ;Groups can contain users only and cannot be nested.;A user can only be a member of a single group at one time.;A user can be a member of multiple groups.;All new users are automatically added to a default group.;Groups can be nested and can contain other groups.;1 3
A company wants to push VPC flow logs to Amazon S3 What action is the company responsible for under the Shared Responsibility Model?;Managing the encryption options on the S3 bucket.;Managing the data in transit.;Managing the infrastructure that runs the S3 bucket.;Managing the operating system updates on the S3 bucket.;;1
The ability to horizontally scale Amazon EC2 instances based on demand is an example of which concept?;Economy of scale;Agility;Elasticity;High availability;;3
Which feature of AWS IAM enables you to identify unnecessary permissions that have been assigned to users?;Permissions Advisor;Access Advisor;Group Advisor;Role Advisor;;2
As part of its cloud architecture a company wants its workloads to be resilient perform correctly consistently and recover from errors in a timely manner.Which pillar of the AWS Well-Architected Framework are these requirements related to?;Operational excellence;Security;Reliability;Performance efficiency;;3
Which service can be used to assign a policy to a group? ;AWS IAM;AWS Shield;AWSn STS;Amazon Cognito; ;1
A user has an AWS account with a Business-level AWS Support plan and needs assistance with handling a production service disruption.Which action should the user take?;Contact the dedicated AWS Concierge Support team;Open a business-critical system down support case; ;Open a production system down support case;Contact the dedicated Technical Account Manager;3
Which team is available to support AWS customers on an Enterprise support plan with account issues? ;AWS Billing and Accounts;AWS Technical Account Manager;AWS Concierge;AWS Technical Support;;3
The AWS shared responsibility model is included in which pillar of the AWS Well-Architected Framework?;Security;Performance efficiency;Reliability;Operational excellence;;1
An organization is migrating to AWS Cloud. During the migration the company needs consulting and guidance on its applications. Upon completion of the migration the company requires a response within 30 minutes in the event of a business-critical system failure. Which AWS Support plans meet these requirements? (Select TWO.);AWS Enterprise On-Ramp Support;AWS Enterprise Support;AWS Developer Support;AWS Business Support;AWS Basic Support;1
AWS Business Support customers have access to which of the following?;AWS Support concierge;AWS technical account manager (TAM);AWS Health API;AWS DDoS Response Team (DRT);;3
Which Amazon EC2 pricing model should be used to comply with per-core software license requirements?;Spot Instances;Reserved Instances;Dedicated Hosts;On-Demand Instances;;3
When performing a total cost of ownership (TCO) analysis between on-premises and the AWS Cloud which factors are only relevant to on-premises deployments? (Select TWO.);Database administration;Facility operations costs;Hardware procurement teams;Operating system licensing;Application licensing;3
When an Amazon EC2 instance is stopped which of the following AWS services can be used to identify the user who stopped it?;VPC Flow Logs;Amazon Inspector;Amazon CloudWatch;AWS CloudTrail;;4
Which of the following security related activities are AWS customers responsible for? (Select TWO.);Installing patches on network devices;Implementing data center access controls;Installing patches on Windows operating systems;Secure disposal of faulty disk drives;Implementing IAM password policies;3 5
The AWS acceptable use policy for penetration testing allows?;Customers to carry out security assessments or penetration tests against their AWS infrastructure after obtaining authorization from AWS;Authorized security assessors to perform penetration tests against any AWS customer without authorization;AWS to perform penetration testing against customer resources without notification;Customers to carry out security assessments or penetration tests against their AWS infrastructure without prior approval for selected services;;4
What fully managed AWS service allows users to bring their own machine learning algorithms?;Amazon Forecast;Amazon SageMaker;AWS Artifact;AWS Data Pipeline;;2
Which AWS service provides a quick and automated way to create and manage AWS accounts?;AWS QuickSight;AWS Organizations;Amazon Connect;Amazon LightSail;Amazon LightSail;2
A company is considering migrating from on-premises to the AWS Cloud. In order to handle the workload efficiently the IT team needs to offload this heavy lifting as much as possible.What should the IT team do to accomplish this goal?;Use AWS Managed Services to provision run and support the company infrastructure.;Use Amazon Elastic Container Service (Amazon ECS) on Amazon EC2 instances.;Overprovision compute capacity for seasonal events and traffic spikes to prevent downtime.;Build hardware refreshes into the operational calendar to ensure availability.;;1
Which of the below are components that can be configured in the VPC section of the AWS management console? (Select TWO.) ;EBS volumes;Endpoints;Elastic Load Balancer;Subnet;DNS records;2 4
In order to perform analytical tasks a company needs a data warehouse. Standard SQL queries must be supported by the data warehouse.Which AWS service meets these requirements?;Amazon Athena;Amazon RDS;Amazon EMR;Amazon Redshift;;4
When storing passwords on AWS what is the MOST secure method?;Store passwords as AWS CloudFormation parameters.;Store passwords in AWS Storage Gateway.;Store passwords in AWS Secrets Manager.;Store passwords in an Amazon S3 bucket.;;2
What does an organization need to do to move to another AWS region?;Submit an application to extend their account to the additional region;Create a separate IAM account for that region;Apply for another AWS account in that region;Just start deploying resources in the additional region;;3
A company needs significant cost savings for their non-interruptible workloads on AWS.Which EC2 instance pricing model should the company select?;Reserved Instances;Spot Instances;On-Demand Instances;Dedicated Hosts;;1
Which AWS service monitors AWS accounts continuously for malicious activity and unauthorized behavior?;AWS Config;Amazon GuardDuty;Amazon Inspector;Amazon Macie;;2
Which services can be used for asynchronous integration between application components? (Select TWO.);AWS Route 53;Amazon SQS;AWS CloudFormation;Amazon Step Functions;Amazon EC2 Auto Scaling;2 4
Which AWS service enables hybrid cloud storage between on-premises and the AWS Cloud?;AWS Storage Gateway;Amazon CloudFront;Amazon Elastic File System (EFS);Amazon S3 Cross Region Replication (CRR);;1
What does an organization need to do in Amazon IAM to enable user access to services being launched in new region?;Update the user accounts to allow access from another region;Enable global mode in IAM to provision the required access;Create new user accounts in the new region;Nothing; IAM is global;4
What AWS service offers managed DDoS protection?;Amazon Inspector;AWS Firewall Manager;Amazon GuardDuty;AWS Shield;;4
What offerings are included in the Amazon LightSail product set? (Select TWO.);Managed MySQL database;NoSQL database;Virtual Private Server;Serverless functions;File storage;1 3
Which of the following must be used together to gain programmatic access to an AWS account? (Select TWO.);A user ID;A primary key;A secondary key;An access key ID;A secret access key;4 5
Which of the following are advantages of using the AWS cloud computing over legacy IT? (Select TWO.);You are able to pass responsibility for the availability of your application to AWS;You can bring services closer to your end users;You can bring new applications to market faster;You don't need to patch your operating systems;You don't need to worry about over provisioning as you can elastically scale;3 5
Which AWS service can assist with providing recommended actions on cost optimization?;AWS Inspector;AWS Artifact;Amazon CloudWatch Events;AWS Trusted Advisor;;4
Which service is used introduce fault tolerance into an application architecture?;Amazon DynamoDB;Amazon Elastic Load Balancing;Amazon CloudFront;Amazon ElastiCache;;2
Which service allows an organization to bring their own licensing on host hardware that is physically isolated from other AWS accounts?;EC2 Dedicated Hosts;EC2 Dedicated Instances;EC2 Reserved Instances;EC2 Spot Instances;;1
What information must be entered into the AWS TCO Calculator?;The number of servers in your company;The number of applications in your company;The number of end users in your company;The number of storage systems in your company;;1
Which AWS services form the app-facing services of the AWS serverless infrastructure? (Select TWO.);AWS Lambda;Amazon DynamoDB;AWS Step Functions;Amazon EFS;Amazon API Gateway;1 5
Which tools can you use to manage identities in IAM? (Select TWO.);AWS Command Line Tools;EC2 Management Console;Amazon Workspaces;AWS Management Console;Amazon CloudWatch API;1 4
Which AWS service lets connected devices easily and securely interact with cloud applications and other devices?;Amazon Workspaces;AWS IoT Core;AWS Directory Service;AWS Server Migration Service (SMS);;2
Which AWS service can be used to prepare and load data for analytics using an extract transform and load (ETL) process?;AWS Glue;Amazon Athena;AWS Lambda;Amazon EMR;;1
What are the primary benefits of using AWS Elastic Load Balancing? (Select TWO.);Regional resilience;Automation;Caching;High availability;Elasticity;4 5
Which service can you use to monitor store and access log files generated by EC2 instances and on-premises servers? ;Amazon Kinesis;AWS OpsWorks;AWS CloudTrail;Amazon CloudWatch Logs;;4
How can a company protect their Amazon S3 data from a regional disaster?;Enable Multi-Factor Authentication (MFA) delete;Use Cross-Region Replication (CRR) to copy to another region;Archive to Amazon Glacier;Use lifecycle actions to move to another S3 storage class;;2
Which of the following constitute the six pillars for the AWS Well-Architected Framework? (Select TWO.);Performance efficiency and cost optimization;Cost prioritization and cost optimization;Operational excellence elasticity and scalability;Operational excellence security and reliability;Data consistency and cost optimization;1 4
To reward customers for using their services what are two ways AWS reduce prices? (Select TWO.);Discounts for using a wider variety of services;Reduction in inbound data transfer charges;Volume based discounts when you use more services;Reduced cost for reserved capacity;Removal of termination fees for customers who spend more;3 4
Which AWS program can help an organization to design build and manage their workloads on AWS?;APN Technology Consultants;AWS Business Development Manager;AWS Technical Account Manager;APN Consulting Partners;;4
A company has deployed several relational databases on Amazon RDS. Every month the database software vendor releases new security patches that need to be applied to the database.What is the MOST efficient way to apply the security patches?;Connect to each database instance on a monthly basis and download and apply the necessary security patches from the vendor;Use AWS Systems Manager to automate database patching according to a schedule;In AWS Config configure a rule for the instances and the required patch level;Enable automatic patching for the instances using the Amazon RDS console;;4
A developer needs a way to automatically provision a collection of AWS resources. Which AWS service is primarily used for deploying infrastructure as code?;AWS CloudFormation;AWS CodeDeploy;Jenkins;AWS Elastic Beanstalk;;1
Which of the following would be good reasons to move from on-premises to the AWS Cloud? (Select TWO.);Outsource all security responsibility;Reduce costs through easier right-sizing of workloads;Gain access to free technical support services;Improve agility and elasticity;Gain end-to-end operational management of the entire infrastructure stack;2 4
What is the relationship between subnets and availability zones?;Subnets contain one or more availability zones;You can create one or more subnets within each availability zone;You can create one subnet per availability zone;Subnets span across multiple availability zones;;2
A user deploys an Amazon Aurora database instance in multiple Availability Zones.This strategy involves which pillar of the AWS Well-Architected Framework?;Cost optimization;Reliability;Security;Performance ef���ciency;;2
What are the benefits of using IAM roles for applications that run on EC2 instances? (Select TWO.) ;More secure than storing access keys within applications;Role credentials are permanent;Easier to configure than using storing access keys within the EC2 instance;Can apply multiple roles to a single instance;It is easier to manage IAM roles;1 5
Which services allow you to store files on AWS? (Select TWO.);AWS Lambda;Amazon LightSail;Amazon SQS;Amazon EBS;Amazon EFS;4 5
An Elastic IP Address can be remapped between EC2 instances across which boundaries?;Edge Locations;Regions;DB Subnets;Availability Zones;;4
An application that is deployed across multiple Availability Zones could be described as:;Being secure;Having elasticity;Having global reach;Being highly available;;4
What is an Edge location?;A VPC peering connection endpoint;A content delivery network (CDN) endpoint for CloudFront;A virtual private gateway for VPN;A public endpoint for Amazon S3;;2
Which service runs your application code only when needed without needing to run servers?;Amazon EC2;AWS LightSail;Amazon ECS;AWS Lambda;;4
What is the name of the AWS managed Docker registry service used by the Amazon Elastic Container Service (ECS)?;Docker Container Registry;Elastic Container Registry;ECS Container Registry;Docker Image Repository;;2
A company wants to utilize a pay as you go cloud model for all of their applications without CAPEX costs and which is highly elastic. Which cloud delivery model will suit them best?;Hybrid;Private;On-premise;Public;;4
Which AWS IAM best practice recommends applying the minimum permissions necessary to perform a task when creating IAM policies?;Create individual IAM users;Grant least privilege;Use roles to delegate permissions;Enable MFA for privileged users;;2
Which AWS service enables developers and data scientists to build train and deploy machine learning models?;Amazon Rekognition;Amazon MQ;Amazon SageMaker;Amazon Comprehend;;3
Which AWS components aid in the construction of fault-tolerant applications? (Select TWO.);Block device mappings;Elastic IP addresses;Tags;ARNs;AMIs;2 5
What is the name of the online self-service portal that AWS provides to enable customers to view reports and such as PCI reports and accept agreements?;AWS Documentation Portal;AWS DocuFact;AWS Artifact;AWS Compliance Portal;;3
Which type of Amazon RDS automated backup allows you to restore the database with a granularity of as little as 5 minutes?;Point-in-time recovery;Snapshot backup;Incremental backup;Full backup;;1
A cloud practitioner needs to decrease application latency and increase performance for globally distributed users.Which services can assist? (Select TWO.);Amazon S3;Amazon CloudFront;Amazon ECS;Amazon ElastiCache;Amazon AppStream 2.0;1 2
Which type of storage stores objects comprised of key value pairs?;Amazon EBS;Amazon DynamoDB;Amazon S3;Amazon EFS;;3
Which service provides alerts and remediation guidance when AWS is experiencing events that may impact you?;AWS Health Dashboard;AWS Inspector;AWS Shield;AWS Trusted Advisor;;1
How can you configure Amazon Route 53 to monitor the health and performance of your application?;Using CloudWatch;Using DNS lookups;Using the Route 53 API;Using Route 53 health checks;;4
Which AWS support plan provides email only support by Cloud Support Associates?;Developer;Basic;Business;Enterprise;;1
